run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
3,orig_dec,0.5000000000,0.0500000000,0.3764465561,0.0735534439,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7553,7790,7723,-167992.7279773786,22.5651768905,22.7522631073,16,0,0,0.0000000000,3.6189947600
4,orig_dec,0.5000000000,0.0500000000,0.3742128033,0.0757871967,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7535,7790,7676,-910704.7593780464,117.9069010755,119.6431421806,34,0,0,0.0000000000,3.6583421590
0,orig_dec,0.5000000000,0.0500000000,0.3625455352,0.0874544648,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7509,7790,7567,-203701.4580100946,27.1490960218,27.9197116440,60,0,0,0.0000000000,3.6224756590
1,orig_dec,0.5000000000,0.0500000000,0.3698557491,0.0801442509,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7517,7790,7676,-247983.8444938317,32.8336129004,33.3063893296,52,0,0,0.0000000000,3.6281690600
2,orig_dec,0.5000000000,0.0500000000,0.3693854874,0.0806145126,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7520,7790,7680,-787905.6658767564,102.1432176992,103.5918835777,49,0,0,0.0000000000,3.6100968590
3,orig_dec,0.5000000000,0.0500000000,0.3648390134,0.0851609866,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7523,7790,7632,-280008.3105944903,36.9445841585,37.6887199416,46,0,0,0.0000000000,3.5855273590
4,orig_dec,0.5000000000,0.0500000000,0.3676499798,0.0823500202,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7499,7790,7597,-523513.2124054814,68.2032365090,69.9105189424,70,0,0,0.0000000000,3.5965053580
0,orig_dec,0.5000000000,0.0500000000,0.3656150098,0.0843849902,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7474,7790,7509,-90710.2598195104,12.6444492708,13.0802050632,95,0,0,0.0000000000,3.4861628570
1,orig_dec,0.5000000000,0.0500000000,0.3702043761,0.0797956239,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7498,7790,7659,75603.7120725536,8.7052261967,8.8712249736,71,0,0,0.0000000000,3.5197614570
2,orig_dec,0.5000000000,0.0500000000,0.3594318479,0.0905681521,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7489,7790,7609,-56847.3681274037,8.2974798623,8.4710695397,80,0,0,0.0000000000,3.5132388580
3,orig_dec,0.5000000000,0.0500000000,0.3703030664,0.0796969336,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7504,7790,7591,32734.8621234185,3.2021645858,3.3123254016,65,0,0,0.0000000000,3.4927541570
4,orig_dec,0.5000000000,0.0500000000,0.3634351359,0.0865648641,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7469,7790,7535,-159837.0180334407,21.5182308130,22.2126102234,100,0,0,0.0000000000,3.5557492590
0,orig_dec,0.5000000000,0.0500000000,0.3581466434,0.0918533566,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7413,7790,7299,288471.8598777661,36.0310474811,38.5221071212,156,0,0,0.0000000000,3.5319182580
1,orig_dec,0.5000000000,0.0500000000,0.3761883796,0.0738116204,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7462,7790,7610,105113.0059561372,12.4933255399,12.8124843569,107,0,0,0.0000000000,3.5425892580
2,orig_dec,0.5000000000,0.0500000000,0.3707866482,0.0792133518,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7429,7790,7460,-472978.0467044059,61.7160522085,64.4018829362,140,0,0,0.0000000000,3.5795597590
3,orig_dec,0.5000000000,0.0500000000,0.3752247607,0.0747752393,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7471,7790,7538,467550.2664319174,59.0192896575,61.0257716147,98,0,0,0.0000000000,3.6757392600
4,orig_dec,0.5000000000,0.0500000000,0.3751252744,0.0748747256,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7407,7790,7331,280720.1973352483,35.0359688492,37.2922107946,162,0,0,0.0000000000,3.5493121580
0,orig_dec,0.5000000000,0.0500000000,0.3669358581,0.0830641419,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7366,7790,7176,-47940.5552142862,7.1541149184,7.6806793777,203,0,0,0.0000000000,3.5999499580
1,orig_dec,0.5000000000,0.0500000000,0.3610068635,0.0889931365,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7420,7790,7507,-314924.7711300217,41.4267998883,42.9508153896,149,0,0,0.0000000000,3.6571080600
2,orig_dec,0.5000000000,0.0500000000,0.3638475987,0.0861524013,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7386,7790,7363,231242.1856085053,28.6844910922,30.4059738705,183,0,0,0.0000000000,3.5689809580
3,orig_dec,0.5000000000,0.0500000000,0.3603002437,0.0896997563,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7420,7790,7402,-101947.1960938075,14.0869314626,14.7729257084,149,0,0,0.0000000000,3.5789376580
4,orig_dec,0.5000000000,0.0500000000,0.3704038290,0.0795961710,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7348,7790,7139,63513.7183291378,7.1532372695,7.8967247975,221,0,0,0.0000000000,3.5928636590
