run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
2,orig_dec,0.5000000000,0.0500000000,0.4321228883,0.0178771117,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,870481,32950647,32044584,29432026.6028993279,0.1067845617,0.0815288286,8621,0,0,0.0000000000,12.4414561040
3,orig_dec,0.5000000000,0.0500000000,0.4318270953,0.0181729047,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,870562,32950647,32110876,29104284.1095530279,0.1167310278,0.0936315749,8540,0,0,0.0000000000,12.3046420010
4,orig_dec,0.5000000000,0.0500000000,0.4322322435,0.0177677565,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,869719,32950647,31923622,31890211.8155818991,0.0321825300,0.0010465662,9383,0,0,0.0000000000,12.2006139000
0,orig_dec,0.5000000000,0.0500000000,0.4320412195,0.0179587805,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,863584,32950647,31292832,34690936.5047852546,0.0528150329,0.1085905074,15518,0,0,0.0000000000,12.1014441980
1,orig_dec,0.5000000000,0.0500000000,0.4323777877,0.0176222123,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,863017,32950647,31184765,32828148.6581068486,0.0037176309,0.0526982858,16085,0,0,0.0000000000,12.0371192970
2,orig_dec,0.5000000000,0.0500000000,0.4320426163,0.0179573837,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,864686,32950647,31474781,28709592.0810126476,0.1287093063,0.0878541115,14416,0,0,0.0000000000,11.7710656930
3,orig_dec,0.5000000000,0.0500000000,0.4320943531,0.0179056469,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,864444,32950647,31593609,36480053.9767155275,0.1071119173,0.1546656153,14658,0,0,0.0000000000,11.1636169830
4,orig_dec,0.5000000000,0.0500000000,0.4320440060,0.0179559940,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,863365,32950647,31271774,31453920.1895954311,0.0454232905,0.0058246197,15737,0,0,0.0000000000,11.4521388870
0,orig_dec,0.5000000000,0.0500000000,0.4325616243,0.0174383757,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,858610,32950647,30838053,29377163.2343909144,0.1084495781,0.0473729572,20492,0,0,0.0000000000,11.9449733950
1,orig_dec,0.5000000000,0.0500000000,0.4321718546,0.0178281454,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,857866,32950647,30675540,27731702.0139484964,0.1583867226,0.0959669491,21236,0,0,0.0000000000,12.1424915980
