run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,1370766,491664,32950647,201984391,29129.6324710584,2969.67026661774,4369.44487065875,202171374.439787,5.13558132681846,0.000925732126432399,0,0,560950.319358357,6.390685005,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,1370021,490919,32950647,202310087,28143.9513324935,3013.97487768545,4221.59269987403,202293261.99285,5.1392804211963,8.31644501718648e-05,0,0,-50475.0214475362,6.391141704,20574806
4,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,1368801,489699,32950647,202776281,27241.5350617101,3027.91608449298,4086.23025925651,199840312.333686,5.06483728024175,0.0144788564610965,0,0,-8807905.99894168,6.543317307,20679535
0,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,871952,7150,32950647,32259215,25827.8315611448,2653.49495609852,3874.17473417172,32790427.0644448,0.00486242153470188,0.0164669867027093,0,0,1593636.19333416,3.548081158,20260619
1,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,870472,8630,32950647,32018428,25346.8005661672,2653.5319605341,3802.02008492508,32138525.736706,0.0246465953549855,0.00375089422585123,0,0,360293.210118019,3.587137459,20365348
2,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,871266,7836,32950647,32158066,25589.9847127319,2675.65934779764,3838.49770690978,32112925.6051938,0.0254235188403483,0.00140370365575359,0,0,-135421.184419027,3.619452659,20470077
3,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,870521,8581,32950647,32019635,26674.0291602676,2667.63339592058,4001.10437404013,32610419.3663949,0.0103253703517604,0.0184506902216367,0,0,1772353.09918458,3.639981359,20574806
4,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,869301,9801,32950647,31845771,26019.1284457826,2667.91213302271,3902.8692668674,30482994.0597678,0.0748893622705544,0.0427930270625936,0,0,-4088330.8206964,3.634438159,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.15,1500,0.25,0,879102,1155617,276515,32950647,44556079,27099.9150246467,2767.1885401469,4064.98725369701,43689900.9698455,0.325919365706097,0.0194401762810973,0,0,-2598534.090463,5.785099695,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.15,1500,0.25,0,879102,1155496,276394,32950647,44898559,25630.9389994933,2771.49567059051,3844.64084992399,44799081.2554013,0.359581232362488,0.00221561107559553,0,0,-298433.233795337,5.969976198,20365348
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.15,1500,0.25,0,879102,1156287,277185,32950647,44754533,26078.6620871685,2729.43427659695,3911.79931307528,45690596.2031443,0.386637300419149,0.020915494820253,0,0,2808189.60943324,5.786137695,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.15,1500,0.25,0,879102,1155537,276435,32950647,44876239,25839.8251242564,2734.64442860372,3875.97376863847,44727756.5935799,0.357416641730278,0.00330870878952521,0,0,-445447.219260151,5.675512593,20574806
