run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
2,lap_scale_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-582984.649998706,75.8375673939289,75.8375673939289,500,-1482658.14832176,-289665.801674359,0.0076222,20470077
3,lap_scale_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-1089548.19878026,140.864980587966,140.864980587966,500,-1488057.32411988,-1803957.27222088,0.0080594,20574806
4,lap_scale_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-1131967.52343408,146.310336769458,146.310336769458,500,-1490298.26874049,-1928974.30156175,0.0074068,20679535
0,lap_count_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-410217.810671919,53.659539239014,53.659539239014,109,437.25,-1254460.68201576,0.007585801,20260619
1,lap_count_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-779874.385531979,101.112244612577,101.112244612577,96,375.75,-2363368.90659594,0.007901,20365348
2,lap_count_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-88680.6005581199,12.3839025106701,12.3839025106701,128,254,-289665.801674359,0.0079379,20470077
3,lap_count_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-593426.257406962,77.1779534540388,77.1779534540388,114,308.5,-1803957.27222088,0.009284101,20574806
4,lap_count_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-635111.100520583,82.529024457071,82.529024457071,110,271,-1928974.30156175,0.0085438,20679535
0,lap_count_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-410509.310671919,53.6969590079486,53.6969590079486,109,-437.25,-1254460.68201576,0.0070714,20260619
1,lap_count_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-780124.885531979,101.144401223617,101.144401223617,96,-375.75,-2363368.90659594,0.008345501,20365348
2,lap_count_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-88849.9338914529,12.4056397806743,12.4056397806743,128,-254,-289665.801674359,0.0072934,20470077
3,lap_count_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-593631.924073629,77.2043548233157,77.2043548233157,114,-308.5,-1803957.27222088,0.0077869,20574806
4,lap_count_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-635291.76718725,82.5522165837292,82.5522165837292,110,-271,-1928974.30156175,0.007900801,20679535
0,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.5,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-410280.227338586,53.6675516480855,53.6675516480855,500,250,-1254460.68201576,0.0095952,20260619
1,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.5,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-779916.302198645,101.117625442702,101.117625442702,500,250,-2363368.90659594,0.008849,20365348
2,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.5,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-88681.9338914532,12.3840736702764,12.3840736702764,500,250,-289665.801674359,0.00847,20470077
3,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.5,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-593445.757406962,77.1804566632814,77.1804566632814,500,250,-1803957.27222088,0.007708201,20574806
